Key,zh-cn,en-us
1044,俱乐部基金余额提现失败，请稍后重试,"The club fund balance withdrawal failed, please try again later"
1045,俱乐部基金提取受限，低于{0}(含)的部分不可提取,"Club fund withdrawal is restricted, and the part below {0} (inclusive) cannot be withdrawn"
1061,修改备注失败，请稍后重试,"Failed to modify the remark, please try again later"
1081,管理员设置出错，请稍后重试,"Administrator setting error, please try again later"
1091,免费提现额度返利设置失败，请稍后重试,"The free withdrawal limit rebate setting failed, please try again later"
1101,俱乐部开关设置失败，请稍后重试,"Club switch setting failed, please try again later"
1111,俱乐部基金尚有余额，无法解散。请及时前往俱乐部基金处理,The club fund still has a balance and cannot be dissolved. Please go to the club in timeDepartment of Fund Processing
1112,解散俱乐部失败，请稍后重试,"Failed to dissolve the club, please try again later"
1113,俱乐部基金不为0，无法解散俱乐部,"The club fund is not 0, the club cannot be dissolved"
1114,俱乐部有进行中的牌局，无法解散俱乐部,The club has cards in progress and the club cannot be disbanded
1115,"已加入联盟无法解散俱乐部, 请退出联盟后重试","You have joined the league and cannot disband the club, please exit the league and restart test!"
1121,用户信任额度不为 0,User credit limit is not 0
1122,退出俱乐部失败，请稍后重试,"Failed to exit the club, please try again later"
1123,"俱乐部还款失败, 请稍后重试","The club repayment failed, please try again later"
1124,"俱乐部还款出错, 请稍后重试","Club repayment error, please try again later"
1125,俱乐部没有欠款,The club has no debts
126,"俱乐部全部还款失败, 请稍后重试","All the club repayment failed, please try again later"
1127,"俱乐部尚有未还欠款, 请处理后重试","The club still has outstanding debts, please deal with it and try again"
1131,俱乐部不存在,The club does not exist
1151,设置俱乐部保险赔付方式失败，请稍后重试,"Failed to set club insurance payment method, please try again later"
1152,设置俱乐部保险赔付限制失败，请稍后重试,"Failed to set club insurance compensation limit, please try again later"
1161,没有要处理的消息,No message to be processed
1162,处理用户加入失败，请稍后重试,"Failed to process user join, please try again later"
3001,联盟不存在,Alliance does not exist
3002,已经加入联盟,Already joined the alliance
3003,联盟的俱乐部数量已满,The number of league clubs is full
3004,加入联盟失败，请稍后重试,"Failed to join the alliance, please try again later"
3005,修改联盟介绍失败，请稍后重试’,"Failed to modify the alliance introduction, please try again later"
3006,添加管理员失败，请稍后重试,"Failed to add administrator, please try again later"
3007,删除管理员失败，请稍后重试,"Failed to delete the administrator, please try again later"
3008,处理俱乐部加入失败，请稍后重试,"Failed to process club joining, please try again later"
9,没有要处理的消息,No message to be processed
3010,删除俱乐部失败，请稍后重试,"Failed to delete the club, please try again later"
3011,退出联盟失败，请稍后重试,"Failed to exit the alliance, please try again later"
3012,转入到联盟基金余额失败，请稍后重试,"Failed to transfer to the alliance fund balance, please try again later"
3013,余额不足,Time currency balance is insufficient
3014,转入到联盟基金余额出错，请稍后重试,"An error occurred when transferring to the alliance fund balance, please try again later"
3015,联盟基金余额不足,The alliance fund balance is insufficient
3016,联盟基金余额提现出错，请稍后重试,"Affiliate fund balance withdrawal error, please try again later"
3017,超过每日最大限额,Exceeded the daily maximum limit
3018,联盟基金余额提现失败，请稍后重试,"Alliance fund balance withdrawal failed, please try again later'"
3019,用户已经是联盟的管理员,The user is already an administrator of the alliance
3020,加入的联盟数量已达上限,The number of alliances joined has reached the upper limit
3021,加入失败，请联系联盟主,"Join failed, please contact the alliance owner"
